student_id,student_country,date_registered,has_purchased,has_onboarded
266036,AE,2022-03-06,NO,YES
266238,AE,2022-03-07,NO,NO
266690,AE,2022-03-10,NO,YES
266794,AE,2022-03-11,NO,YES
266864,AE,2022-03-11,NO,YES
267082,AE,2022-03-13,NO,NO
267083,AE,2022-03-13,NO,YES
267203,AE,2022-03-14,YES,YES
267453,AE,2022-03-15,NO,YES
267691,AE,2022-03-17,NO,NO
267694,AE,2022-03-17,NO,NO
267796,AE,2022-03-18,NO,NO
267942,AE,2022-03-19,NO,NO
267962,AE,2022-03-19,NO,NO
268128,AE,2022-03-20,NO,YES
268163,AE,2022-03-21,NO,YES
268188,AE,2022-03-21,NO,YES
268220,AE,2022-03-21,NO,YES
268408,AE,2022-03-23,YES,YES
268445,AE,2022-03-24,NO,NO
268617,AE,2022-03-26,NO,NO
268685,AE,2022-03-27,NO,YES
269033,AE,2022-03-30,NO,NO
269095,AE,2022-03-31,NO,YES
269138,AE,2022-03-31,NO,NO
269460,AE,2022-04-03,NO,NO
269570,AE,2022-04-04,YES,YES
269773,AE,2022-04-05,NO,YES
269926,AE,2022-04-07,NO,YES
269934,AE,2022-04-07,YES,YES
269942,AE,2022-04-07,NO,YES
269951,AE,2022-04-07,NO,YES
269986,AE,2022-04-07,NO,NO
270075,AE,2022-04-08,YES,YES
270076,AE,2022-04-08,NO,YES
270220,AE,2022-04-09,NO,YES
270244,AE,2022-04-09,YES,YES
270268,AE,2022-04-10,NO,YES
270729,AE,2022-04-13,NO,NO
270836,AE,2022-04-14,NO,YES
270855,AE,2022-04-15,NO,YES
270967,AE,2022-04-16,NO,YES
270989,AE,2022-04-16,NO,NO
271166,AE,2022-04-18,NO,NO
271239,AE,2022-04-19,NO,YES
271368,AE,2022-04-20,NO,YES
271577,AE,2022-04-22,NO,YES
271868,AE,2022-04-25,NO,NO
271870,AE,2022-04-25,NO,NO
271966,AE,2022-04-26,NO,YES
272094,AE,2022-04-27,NO,YES
272340,AE,2022-04-29,NO,YES
272637,AE,2022-05-02,NO,NO
272911,AE,2022-05-05,NO,YES
273665,AE,2022-05-12,NO,YES
273764,AE,2022-05-13,NO,YES
273798,AE,2022-05-13,NO,YES
274012,AE,2022-05-15,NO,YES
274026,AE,2022-05-15,NO,NO
274107,AE,2022-05-16,NO,NO
274226,AE,2022-05-17,NO,YES
274430,AE,2022-05-19,NO,NO
274513,AE,2022-05-20,NO,YES
274531,AE,2022-05-20,NO,YES
274704,AE,2022-05-22,NO,NO
274738,AE,2022-05-22,NO,NO
274788,AE,2022-05-23,NO,NO
274940,AE,2022-05-24,YES,YES
275045,AE,2022-05-25,YES,YES
275278,AE,2022-05-28,NO,YES
275346,AE,2022-05-29,YES,NO
275448,AE,2022-05-30,NO,YES
275469,AE,2022-05-30,NO,YES
275598,AE,2022-06-01,YES,YES
275615,AE,2022-06-01,NO,NO
275711,AE,2022-06-01,NO,YES
275729,AE,2022-06-01,NO,NO
275817,AE,2022-06-02,NO,YES
275867,AE,2022-06-02,NO,NO
275917,AE,2022-06-02,NO,YES
275918,AE,2022-06-02,NO,YES
275979,AE,2022-06-02,NO,YES
276033,AE,2022-06-02,NO,NO
276127,AE,2022-06-02,NO,NO
276150,AE,2022-06-02,NO,NO
276266,AE,2022-06-03,NO,NO
276324,AE,2022-06-03,NO,NO
276349,AE,2022-06-03,NO,NO
276383,AE,2022-06-03,YES,YES
276739,AE,2022-06-06,NO,NO
276901,AE,2022-06-07,NO,NO
277000,AE,2022-06-08,NO,YES
277109,AE,2022-06-08,NO,YES
277125,AE,2022-06-08,NO,NO
277220,AE,2022-06-09,NO,YES
277441,AE,2022-06-11,NO,YES
277998,AE,2022-06-16,NO,NO
278073,AE,2022-06-16,NO,NO
278361,AE,2022-06-19,NO,YES
278382,AE,2022-06-19,NO,NO
278440,AE,2022-06-19,NO,YES
278449,AE,2022-06-19,NO,NO
278691,AE,2022-06-20,NO,YES
278729,AE,2022-06-21,NO,YES
278735,AE,2022-06-21,NO,NO
278739,AE,2022-06-21,NO,NO
278832,AE,2022-06-21,NO,NO
278907,AE,2022-06-22,NO,YES
278931,AE,2022-06-22,NO,NO
278975,AE,2022-06-23,NO,YES
279548,AE,2022-06-28,NO,YES
279689,AE,2022-06-29,NO,YES
279691,AE,2022-06-29,NO,NO
279802,AE,2022-06-30,NO,YES
279951,AE,2022-07-01,NO,YES
280068,AE,2022-07-02,NO,YES
280159,AE,2022-07-03,YES,YES
280160,AE,2022-07-03,NO,NO
280359,AE,2022-07-05,NO,YES
280841,AE,2022-07-09,NO,NO
281125,AE,2022-07-11,NO,YES
281213,AE,2022-07-12,NO,NO
281303,AE,2022-07-12,NO,NO
281373,AE,2022-07-13,NO,YES
281595,AE,2022-07-15,NO,NO
281610,AE,2022-07-15,NO,YES
281659,AE,2022-07-15,NO,NO
281692,AE,2022-07-16,NO,NO
281885,AE,2022-07-17,YES,YES
281923,AE,2022-07-18,NO,NO
282089,AE,2022-07-19,NO,YES
282289,AE,2022-07-22,NO,YES
282355,AE,2022-07-22,NO,YES
282397,AE,2022-07-23,NO,YES
282452,AE,2022-07-23,NO,NO
282944,AE,2022-07-29,NO,YES
283275,AE,2022-07-31,NO,YES
283434,AE,2022-08-01,NO,YES
283592,AE,2022-08-02,NO,NO
283980,AE,2022-08-05,NO,NO
285164,AE,2022-08-12,NO,NO
285716,AE,2022-08-15,NO,YES
286010,AE,2022-08-15,NO,YES
286066,AE,2022-08-15,NO,NO
286137,AE,2022-08-15,NO,YES
286795,AE,2022-08-17,NO,YES
287228,AE,2022-08-19,NO,NO
287339,AE,2022-08-20,NO,NO
287346,AE,2022-08-20,NO,YES
287363,AE,2022-08-20,NO,YES
287686,AE,2022-08-23,NO,NO
287726,AE,2022-08-23,NO,YES
288027,AE,2022-08-25,NO,YES
288416,AE,2022-08-28,NO,YES
288666,AE,2022-08-30,NO,NO
288668,AE,2022-08-30,NO,YES
288697,AE,2022-08-30,NO,YES
288792,AE,2022-08-30,NO,NO
288802,AE,2022-08-30,NO,YES
288872,AE,2022-08-31,NO,NO
289195,AE,2022-09-02,NO,NO
289670,AE,2022-09-06,NO,NO
289802,AE,2022-09-07,NO,YES
289805,AE,2022-09-07,YES,YES
289932,AE,2022-09-08,NO,NO
290100,AE,2022-09-10,NO,NO
290156,AE,2022-09-10,NO,YES
290211,AE,2022-09-11,NO,NO
290678,AE,2022-09-14,NO,YES
290721,AE,2022-09-14,NO,YES
291092,AE,2022-09-17,NO,YES
291348,AE,2022-09-19,NO,YES
291400,AE,2022-09-20,YES,YES
291401,AE,2022-09-20,YES,YES
291439,AE,2022-09-20,NO,YES
291509,AE,2022-09-21,NO,YES
291646,AE,2022-09-22,NO,YES
291912,AE,2022-09-24,NO,YES
292394,AE,2022-09-28,NO,YES
292504,AE,2022-09-29,NO,YES
292513,AE,2022-09-29,NO,YES
292522,AE,2022-09-29,NO,YES
292931,AE,2022-10-02,YES,YES
293504,AE,2022-10-06,YES,YES
293521,AE,2022-10-06,NO,YES
293804,AE,2022-10-08,NO,NO
294543,AE,2022-10-13,NO,YES
294685,AE,2022-10-14,NO,NO
295018,AE,2022-10-17,NO,YES
295027,AE,2022-10-17,NO,NO
259583,AF,2022-01-07,NO,NO
262493,AF,2022-02-03,NO,NO
266838,AF,2022-03-11,NO,NO
268449,AF,2022-03-24,NO,NO
274546,AF,2022-05-20,NO,NO
277897,AG,2022-06-15,NO,YES
260478,AL,2022-01-14,NO,NO
260735,AL,2022-01-17,NO,NO
262315,AL,2022-02-02,NO,YES
262699,AL,2022-02-04,NO,YES
263107,AL,2022-02-08,NO,NO
266680,AL,2022-03-10,YES,YES
267951,AL,2022-03-19,NO,NO
268286,AL,2022-03-22,NO,YES
270310,AL,2022-04-10,NO,NO
273424,AL,2022-05-10,NO,YES
275281,AL,2022-05-28,NO,YES
275304,AL,2022-05-29,NO,NO
276815,AL,2022-06-06,NO,NO
277294,AL,2022-06-10,NO,NO
279239,AL,2022-06-25,NO,NO
279327,AL,2022-06-26,NO,YES
283679,AL,2022-08-03,NO,YES
289523,AL,2022-09-05,NO,YES
290031,AL,2022-09-09,NO,NO
291693,AL,2022-09-22,NO,YES
293193,AL,2022-10-04,NO,NO
294606,AL,2022-10-13,NO,YES
259314,AM,2022-01-05,NO,NO
263257,AM,2022-02-10,NO,YES
263630,AM,2022-02-14,NO,NO
264852,AM,2022-02-24,NO,NO
265769,AM,2022-03-03,NO,YES
266810,AM,2022-03-11,YES,YES
266936,AM,2022-03-12,NO,NO
267091,AM,2022-03-13,NO,NO
267275,AM,2022-03-14,NO,NO
269123,AM,2022-03-31,NO,YES
273114,AM,2022-05-07,NO,YES
283807,AM,2022-08-04,NO,YES
283830,AM,2022-08-04,NO,NO
285858,AM,2022-08-15,NO,NO
291115,AM,2022-09-18,NO,YES
292406,AM,2022-09-28,YES,YES
292577,AM,2022-09-29,NO,YES
292916,AM,2022-10-02,NO,YES
293054,AM,2022-10-03,NO,NO
293243,AM,2022-10-04,NO,YES
294963,AM,2022-10-16,NO,YES
295451,AM,2022-10-20,NO,NO
262229,AO,2022-02-01,NO,YES
263732,AO,2022-02-15,NO,NO
270172,AO,2022-04-09,NO,NO
270539,AO,2022-04-12,NO,YES
271294,AO,2022-04-19,NO,YES
272142,AO,2022-04-27,NO,YES
272470,AO,2022-04-30,NO,YES
274636,AO,2022-05-21,NO,NO
275313,AO,2022-05-29,NO,YES
275376,AO,2022-05-29,NO,NO
277903,AO,2022-06-15,NO,YES
279407,AO,2022-06-27,NO,NO
293537,AO,2022-10-06,NO,YES
258897,AR,2022-01-01,NO,YES
259191,AR,2022-01-04,NO,YES
259242,AR,2022-01-04,NO,YES
259272,AR,2022-01-04,NO,NO
259292,AR,2022-01-04,NO,NO
259301,AR,2022-01-05,NO,NO
259376,AR,2022-01-05,NO,NO
259650,AR,2022-01-07,NO,NO
259885,AR,2022-01-10,NO,YES
260065,AR,2022-01-11,NO,NO
260591,AR,2022-01-15,NO,YES
260606,AR,2022-01-16,NO,YES
261033,AR,2022-01-20,NO,NO
261199,AR,2022-01-21,NO,YES
261354,AR,2022-01-23,NO,YES
261465,AR,2022-01-24,NO,YES
261987,AR,2022-01-30,NO,NO
262278,AR,2022-02-01,NO,YES
262600,AR,2022-02-04,NO,NO
263301,AR,2022-02-10,NO,YES
263574,AR,2022-02-13,NO,YES
263969,AR,2022-02-17,NO,YES
264036,AR,2022-02-17,NO,NO
264136,AR,2022-02-18,NO,YES
264320,AR,2022-02-20,NO,NO
264380,AR,2022-02-21,NO,NO
264381,AR,2022-02-21,NO,NO
264454,AR,2022-02-21,NO,YES
264458,AR,2022-02-21,NO,NO
264621,AR,2022-02-22,NO,YES
264820,AR,2022-02-24,NO,NO
264865,AR,2022-02-24,NO,NO
265146,AR,2022-02-26,NO,NO
265261,AR,2022-02-27,NO,NO
265523,AR,2022-03-01,NO,YES
265627,AR,2022-03-02,NO,NO
266855,AR,2022-03-11,NO,NO
267113,AR,2022-03-13,NO,YES
267319,AR,2022-03-15,NO,NO
267409,AR,2022-03-15,NO,YES
267487,AR,2022-03-16,YES,YES
267626,AR,2022-03-16,NO,YES
267743,AR,2022-03-17,NO,YES
267857,AR,2022-03-18,NO,YES
267883,AR,2022-03-18,NO,NO
268121,AR,2022-03-20,NO,YES
268196,AR,2022-03-21,NO,YES
268395,AR,2022-03-23,NO,YES
268469,AR,2022-03-24,NO,NO
268584,AR,2022-03-25,YES,YES
268880,AR,2022-03-29,NO,YES
268930,AR,2022-03-30,NO,YES
268955,AR,2022-03-30,NO,YES
269065,AR,2022-03-31,NO,YES
269233,AR,2022-04-01,NO,NO
269657,AR,2022-04-04,NO,NO
269778,AR,2022-04-05,NO,NO
270705,AR,2022-04-13,NO,YES
270812,AR,2022-04-14,NO,YES
270820,AR,2022-04-14,NO,YES
271046,AR,2022-04-17,NO,NO
271206,AR,2022-04-18,NO,NO
271481,AR,2022-04-21,NO,YES
272049,AR,2022-04-26,NO,YES
272143,AR,2022-04-27,NO,NO
272151,AR,2022-04-27,NO,NO
272184,AR,2022-04-27,NO,YES
272200,AR,2022-04-28,NO,YES
272270,AR,2022-04-28,NO,NO
272293,AR,2022-04-28,NO,NO
272617,AR,2022-05-02,NO,YES
273743,AR,2022-05-12,NO,NO
273745,AR,2022-05-12,NO,NO
274063,AR,2022-05-15,NO,NO
274193,AR,2022-05-17,NO,NO
274756,AR,2022-05-22,NO,YES
275090,AR,2022-05-26,NO,YES
275120,AR,2022-05-26,NO,NO
275155,AR,2022-05-26,NO,YES
275372,AR,2022-05-29,NO,NO
275618,AR,2022-06-01,NO,NO
276203,AR,2022-06-02,NO,YES
276549,AR,2022-06-04,NO,YES
277082,AR,2022-06-08,NO,NO
277204,AR,2022-06-09,NO,NO
277411,AR,2022-06-11,NO,YES
277694,AR,2022-06-13,NO,NO
278076,AR,2022-06-16,NO,YES
278302,AR,2022-06-18,NO,NO
278710,AR,2022-06-20,NO,YES
278921,AR,2022-06-22,NO,YES
279883,AR,2022-06-30,NO,NO
279893,AR,2022-07-01,NO,YES
280133,AR,2022-07-03,NO,YES
280777,AR,2022-07-08,NO,NO
280817,AR,2022-07-08,NO,NO
281289,AR,2022-07-12,NO,YES
281347,AR,2022-07-13,NO,NO
281382,AR,2022-07-13,NO,YES
281397,AR,2022-07-13,NO,NO
281518,AR,2022-07-14,NO,NO
281987,AR,2022-07-18,NO,YES
282008,AR,2022-07-18,NO,YES
282012,AR,2022-07-18,NO,NO
282108,AR,2022-07-19,NO,NO
282176,AR,2022-07-20,NO,NO
282332,AR,2022-07-22,NO,NO
282612,AR,2022-07-25,NO,YES
282698,AR,2022-07-26,NO,YES
283591,AR,2022-08-02,NO,YES
284424,AR,2022-08-08,NO,YES
284909,AR,2022-08-11,NO,YES
284931,AR,2022-08-11,NO,NO
285078,AR,2022-08-12,NO,YES
285780,AR,2022-08-15,NO,NO
285872,AR,2022-08-15,NO,YES
285873,AR,2022-08-15,NO,NO
285948,AR,2022-08-15,NO,NO
286049,AR,2022-08-15,NO,YES
286051,AR,2022-08-15,NO,YES
286221,AR,2022-08-16,NO,NO
286580,AR,2022-08-16,NO,NO
287080,AR,2022-08-18,NO,YES
287114,AR,2022-08-18,NO,NO
287885,AR,2022-08-24,NO,YES
288029,AR,2022-08-25,NO,YES
288074,AR,2022-08-25,NO,NO
288558,AR,2022-08-29,NO,NO
288810,AR,2022-08-31,NO,YES
288921,AR,2022-08-31,NO,YES
289307,AR,2022-09-03,NO,YES
289938,AR,2022-09-08,NO,YES
290502,AR,2022-09-13,NO,YES
291167,AR,2022-09-18,NO,NO
291210,AR,2022-09-18,NO,YES
291390,AR,2022-09-20,NO,YES
292531,AR,2022-09-29,YES,YES
293064,AR,2022-10-03,NO,YES
293141,AR,2022-10-03,NO,NO
293835,AR,2022-10-08,NO,YES
293883,AR,2022-10-08,NO,YES
293885,AR,2022-10-08,NO,YES
294272,AR,2022-10-11,NO,NO
294321,AR,2022-10-11,NO,YES
294851,AR,2022-10-15,NO,YES
294871,AR,2022-10-15,NO,YES
294880,AR,2022-10-16,NO,YES
295185,AR,2022-10-18,NO,YES
295469,AR,2022-10-20,NO,NO
259045,AT,2022-01-02,NO,YES
260200,AT,2022-01-12,NO,YES
261246,AT,2022-01-22,NO,NO
261623,AT,2022-01-26,NO,NO
263761,AT,2022-02-15,NO,NO
264118,AT,2022-02-18,YES,YES
264417,AT,2022-02-21,YES,YES
264624,AT,2022-02-22,NO,NO
265280,AT,2022-02-27,NO,YES
267290,AT,2022-03-14,NO,NO
267311,AT,2022-03-14,NO,YES
267635,AT,2022-03-16,NO,NO
267689,AT,2022-03-17,NO,YES
268516,AT,2022-03-24,YES,YES
268865,AT,2022-03-29,NO,NO
271616,AT,2022-04-22,NO,NO
271986,AT,2022-04-26,NO,YES
272724,AT,2022-05-03,NO,NO
274126,AT,2022-05-16,NO,NO
274230,AT,2022-05-17,NO,NO
274298,AT,2022-05-18,NO,NO
274471,AT,2022-05-19,NO,NO
279148,AT,2022-06-24,NO,NO
279226,AT,2022-06-25,NO,NO
279861,AT,2022-06-30,NO,NO
280144,AT,2022-07-03,NO,NO
281101,AT,2022-07-11,NO,NO
281437,AT,2022-07-13,NO,NO
281674,AT,2022-07-15,NO,NO
283100,AT,2022-07-30,NO,NO
283187,AT,2022-07-31,NO,NO
283491,AT,2022-08-01,NO,YES
283563,AT,2022-08-02,NO,NO
283659,AT,2022-08-03,NO,NO
284636,AT,2022-08-10,NO,NO
284731,AT,2022-08-10,NO,YES
284763,AT,2022-08-10,NO,YES
285283,AT,2022-08-13,YES,YES
285819,AT,2022-08-15,NO,YES
286074,AT,2022-08-15,NO,YES
287379,AT,2022-08-20,NO,NO
287725,AT,2022-08-23,NO,NO
289113,AT,2022-09-02,NO,YES
289369,AT,2022-09-04,NO,NO
289485,AT,2022-09-05,NO,YES
289594,AT,2022-09-06,NO,YES
289815,AT,2022-09-07,NO,NO
290381,AT,2022-09-12,NO,YES
290593,AT,2022-09-13,NO,YES
290727,AT,2022-09-14,NO,YES
291036,AT,2022-09-17,NO,NO
292791,AT,2022-10-01,NO,YES
293008,AT,2022-10-02,NO,YES
294058,AT,2022-10-10,NO,YES
294273,AT,2022-10-11,NO,YES
294348,AT,2022-10-12,NO,NO
294382,AT,2022-10-12,NO,YES
294493,AT,2022-10-13,NO,NO
294865,AT,2022-10-15,NO,YES
294948,AT,2022-10-16,NO,YES
295136,AT,2022-10-18,NO,YES
295206,AT,2022-10-18,NO,YES
295236,AT,2022-10-18,NO,YES
259059,AU,2022-01-03,NO,YES
259101,AU,2022-01-03,NO,YES
259213,AU,2022-01-04,NO,YES
259283,AU,2022-01-04,YES,YES
259307,AU,2022-01-05,NO,YES
259346,AU,2022-01-05,NO,NO
259435,AU,2022-01-06,NO,YES
259443,AU,2022-01-06,NO,YES
259549,AU,2022-01-07,YES,YES
259682,AU,2022-01-08,NO,YES
259684,AU,2022-01-08,YES,YES
259767,AU,2022-01-09,YES,YES
259796,AU,2022-01-09,NO,YES
259806,AU,2022-01-09,NO,NO
259909,AU,2022-01-10,NO,NO
259983,AU,2022-01-11,NO,YES
260126,AU,2022-01-12,YES,YES
260343,AU,2022-01-14,NO,NO
260390,AU,2022-01-14,NO,YES
260613,AU,2022-01-16,NO,NO
260691,AU,2022-01-16,NO,NO
260709,AU,2022-01-17,NO,YES
260710,AU,2022-01-17,NO,NO
260773,AU,2022-01-17,NO,YES
260859,AU,2022-01-18,NO,YES
260931,AU,2022-01-19,NO,NO
261219,AU,2022-01-22,NO,YES
261227,AU,2022-01-22,YES,YES
261306,AU,2022-01-23,NO,NO
261323,AU,2022-01-23,YES,YES
261408,AU,2022-01-24,YES,YES
261416,AU,2022-01-24,NO,NO
261427,AU,2022-01-24,NO,NO
261511,AU,2022-01-25,NO,YES
261605,AU,2022-01-26,NO,NO
261637,AU,2022-01-26,NO,YES
261730,AU,2022-01-27,NO,NO
261735,AU,2022-01-27,YES,YES
261800,AU,2022-01-28,NO,YES
261956,AU,2022-01-29,NO,NO
262121,AU,2022-01-31,NO,NO
262204,AU,2022-02-01,NO,YES
262412,AU,2022-02-03,YES,YES
262490,AU,2022-02-03,NO,YES
262589,AU,2022-02-04,NO,NO
262739,AU,2022-02-05,NO,YES
262843,AU,2022-02-06,NO,YES
262870,AU,2022-02-06,NO,YES
263020,AU,2022-02-08,NO,NO
263027,AU,2022-02-08,NO,YES
263261,AU,2022-02-10,NO,NO
263482,AU,2022-02-13,NO,YES
263488,AU,2022-02-13,NO,YES
263580,AU,2022-02-14,NO,YES
263692,AU,2022-02-14,YES,YES
263909,AU,2022-02-17,NO,NO
263933,AU,2022-02-17,YES,YES
264030,AU,2022-02-17,NO,YES
264041,AU,2022-02-17,NO,NO
264545,AU,2022-02-22,NO,NO
264572,AU,2022-02-22,YES,YES
264575,AU,2022-02-22,NO,YES
264585,AU,2022-02-22,NO,NO
264677,AU,2022-02-23,YES,YES
264758,AU,2022-02-23,NO,NO
264811,AU,2022-02-24,NO,YES
264839,AU,2022-02-24,NO,NO
264933,AU,2022-02-24,NO,NO
265100,AU,2022-02-26,NO,NO
265124,AU,2022-02-26,NO,NO
265190,AU,2022-02-27,NO,NO
265300,AU,2022-02-28,NO,YES
265361,AU,2022-02-28,NO,NO
265368,AU,2022-02-28,NO,NO
265455,AU,2022-03-01,NO,NO
265499,AU,2022-03-01,NO,NO
265605,AU,2022-03-02,NO,NO
265651,AU,2022-03-02,NO,NO
265697,AU,2022-03-03,NO,YES
265799,AU,2022-03-03,NO,YES
266023,AU,2022-03-06,NO,YES
266058,AU,2022-03-06,NO,NO
266123,AU,2022-03-06,YES,YES
266125,AU,2022-03-07,NO,YES
266135,AU,2022-03-07,NO,NO
266142,AU,2022-03-07,NO,YES
266168,AU,2022-03-07,NO,NO
266178,AU,2022-03-07,NO,YES
266299,AU,2022-03-07,NO,YES
266314,AU,2022-03-08,NO,YES
266392,AU,2022-03-08,NO,NO
266484,AU,2022-03-09,NO,NO
266514,AU,2022-03-09,NO,YES
266516,AU,2022-03-09,NO,NO
266598,AU,2022-03-09,NO,NO
266652,AU,2022-03-10,NO,NO
266820,AU,2022-03-11,NO,YES
266827,AU,2022-03-11,NO,NO
267096,AU,2022-03-13,NO,NO
267102,AU,2022-03-13,NO,YES
267254,AU,2022-03-14,YES,YES
267301,AU,2022-03-14,NO,YES
267461,AU,2022-03-15,NO,NO
267493,AU,2022-03-16,NO,YES
267522,AU,2022-03-16,NO,NO
267537,AU,2022-03-16,NO,NO
267538,AU,2022-03-16,NO,NO
267550,AU,2022-03-16,NO,NO
267650,AU,2022-03-17,NO,NO
267660,AU,2022-03-17,NO,NO
267700,AU,2022-03-17,NO,YES
267706,AU,2022-03-17,NO,NO
267723,AU,2022-03-17,NO,NO
267778,AU,2022-03-18,YES,YES
267825,AU,2022-03-18,NO,YES
267919,AU,2022-03-19,YES,YES
267947,AU,2022-03-19,NO,NO
268078,AU,2022-03-20,NO,NO
268352,AU,2022-03-22,YES,YES
268376,AU,2022-03-23,NO,YES
268465,AU,2022-03-24,YES,YES
268470,AU,2022-03-24,NO,NO
268940,AU,2022-03-30,YES,YES
268953,AU,2022-03-30,NO,YES
269067,AU,2022-03-31,NO,NO
269190,AU,2022-04-01,NO,YES
269221,AU,2022-04-01,NO,NO
269247,AU,2022-04-01,NO,YES
269293,AU,2022-04-01,NO,YES
269311,AU,2022-04-02,NO,NO
269316,AU,2022-04-02,NO,NO
269429,AU,2022-04-03,NO,NO
269450,AU,2022-04-03,NO,YES
269459,AU,2022-04-03,NO,YES
269493,AU,2022-04-03,NO,NO
269552,AU,2022-04-04,NO,YES
269574,AU,2022-04-04,NO,NO
269676,AU,2022-04-05,NO,YES
269795,AU,2022-04-06,NO,NO
269812,AU,2022-04-06,NO,YES
269886,AU,2022-04-06,NO,YES
269920,AU,2022-04-07,NO,YES
269923,AU,2022-04-07,NO,NO
269964,AU,2022-04-07,NO,NO
270024,AU,2022-04-08,NO,NO
270152,AU,2022-04-08,NO,YES
270260,AU,2022-04-10,NO,NO
270292,AU,2022-04-10,NO,YES
270468,AU,2022-04-11,NO,YES
270496,AU,2022-04-11,NO,YES
270510,AU,2022-04-12,NO,NO
270734,AU,2022-04-13,NO,YES
270779,AU,2022-04-14,NO,YES
270845,AU,2022-04-15,NO,NO
270889,AU,2022-04-15,NO,YES
270892,AU,2022-04-15,NO,NO
270972,AU,2022-04-16,NO,NO
271160,AU,2022-04-18,NO,YES
271220,AU,2022-04-18,YES,YES
271276,AU,2022-04-19,NO,NO
271340,AU,2022-04-20,NO,NO
271349,AU,2022-04-20,NO,YES
271454,AU,2022-04-21,NO,YES
271670,AU,2022-04-23,YES,YES
271772,AU,2022-04-24,NO,NO
271993,AU,2022-04-26,NO,YES
272068,AU,2022-04-27,NO,YES
272235,AU,2022-04-28,NO,YES
272297,AU,2022-04-29,NO,NO
272320,AU,2022-04-29,NO,YES
272329,AU,2022-04-29,NO,YES
272406,AU,2022-04-29,NO,NO
272584,AU,2022-05-02,NO,YES
272674,AU,2022-05-03,NO,NO
272704,AU,2022-05-03,NO,NO
272726,AU,2022-05-03,NO,YES
272741,AU,2022-05-03,NO,YES
272811,AU,2022-05-04,NO,NO
272813,AU,2022-05-04,NO,YES
272859,AU,2022-05-04,NO,YES
272900,AU,2022-05-05,NO,YES
272901,AU,2022-05-05,NO,NO
272984,AU,2022-05-06,NO,YES
272994,AU,2022-05-06,NO,NO
272997,AU,2022-05-06,NO,NO
273007,AU,2022-05-06,NO,YES
273047,AU,2022-05-06,NO,NO
273064,AU,2022-05-07,NO,NO
273179,AU,2022-05-08,NO,YES
273246,AU,2022-05-09,NO,YES
273519,AU,2022-05-11,NO,NO
273529,AU,2022-05-11,NO,NO
273531,AU,2022-05-11,NO,YES
273544,AU,2022-05-11,NO,YES
273631,AU,2022-05-12,NO,YES
273749,AU,2022-05-12,NO,NO
273921,AU,2022-05-14,NO,NO
273975,AU,2022-05-14,NO,NO
273979,AU,2022-05-15,NO,YES
274071,AU,2022-05-16,NO,NO
274087,AU,2022-05-16,YES,YES
274090,AU,2022-05-16,NO,YES
274109,AU,2022-05-16,NO,YES
274197,AU,2022-05-17,NO,YES
274291,AU,2022-05-18,NO,YES
274309,AU,2022-05-18,NO,YES
274399,AU,2022-05-19,NO,YES
