student_id,minutes_watched,date_watched
261490,29.4,2022-06-07
261543,7.5,2022-01-25
261557,0.5,2022-01-25
261578,0.5,2022-01-25
261619,5.3,2022-01-26
261619,0.9,2022-03-11
261619,68.1,2022-03-13
261619,12.2,2022-03-14
261619,15.5,2022-03-16
261619,0.9,2022-03-17
261619,4.9,2022-03-18
261619,27.8,2022-03-21
261619,29.4,2022-03-23
261619,10.2,2022-03-24
261619,15.6,2022-03-25
261625,19.4,2022-01-26
261737,29.4,2022-07-29
261737,80.5,2022-07-30
261737,0.6,2022-07-31
261737,53.6,2022-08-01
261737,3.2,2022-08-02
261737,5.8,2022-08-06
261737,24.4,2022-08-07
261737,30.1,2022-08-14
261737,33.5,2022-08-15
261737,26.2,2022-08-17
261737,14.7,2022-09-12
261737,24.5,2022-09-15
261737,18.5,2022-09-18
261737,5.1,2022-10-01
261737,10.4,2022-10-02
261737,17.4,2022-10-03
261737,19.2,2022-10-04
261737,9.3,2022-10-05
261737,0.5,2022-10-06
261737,1.0,2022-10-07
261737,23.6,2022-10-08
261737,7.4,2022-10-09
261737,36.3,2022-01-29
261737,21.4,2022-01-30
261737,125.8,2022-10-15
261737,32.8,2022-10-16
261737,87.3,2022-10-17
261737,60.4,2022-02-04
261737,44.9,2022-10-18
261737,0.3,2022-10-19
261737,31.6,2022-02-06
261737,8.2,2022-10-20
261737,0.7,2022-04-29
261737,106.8,2022-06-18
261737,189.6,2022-06-19
261737,22.4,2022-06-20
261737,45.6,2022-06-22
261737,19.8,2022-06-24
261737,32.6,2022-06-30
261737,44.0,2022-07-01
261737,39.2,2022-07-05
261737,28.4,2022-07-23
261748,6.5,2022-01-27
261914,0.4,2022-01-29
261933,37.2,2022-01-29
261933,0.7,2022-01-30
261933,0.3,2022-06-03
262325,0.9,2022-02-02
262771,8.2,2022-02-05
262850,13.5,2022-02-06
263194,7.6,2022-02-09
263734,3.0,2022-02-15
264513,45.0,2022-02-22
264513,35.5,2022-02-23
264513,33.0,2022-02-25
264732,59.9,2022-03-07
264732,113.3,2022-03-08
264732,36.1,2022-03-09
264732,62.9,2022-03-10
264732,23.1,2022-03-11
264732,86.8,2022-03-12
264732,77.1,2022-03-13
264732,65.4,2022-03-14
264732,48.3,2022-03-15
264732,37.6,2022-03-16
264732,31.7,2022-03-17
264732,12.3,2022-03-20
264732,29.1,2022-03-21
264732,31.8,2022-03-23
264732,10.9,2022-04-05
264750,13.9,2022-02-23
264750,30.0,2022-03-06
264750,7.6,2022-03-20
265447,56.2,2022-03-01
265478,8.2,2022-03-01
265478,15.6,2022-03-08
266036,95.2,2022-03-06
266036,60.5,2022-03-07
266690,6.6,2022-03-10
266794,8.2,2022-03-11
266864,27.6,2022-08-13
266864,147.4,2022-08-15
266864,128.0,2022-08-16
266864,212.7,2022-08-17
266864,3.5,2022-08-18
267083,0.2,2022-03-13
267203,15.3,2022-07-27
267203,25.0,2022-07-29
267203,3.4,2022-08-02
267203,12.1,2022-08-03
267203,7.2,2022-08-04
267203,7.1,2022-08-05
267203,10.2,2022-08-08
267203,35.0,2022-08-15
267203,41.1,2022-09-23
267203,58.1,2022-03-14
267203,108.9,2022-03-16
267203,28.9,2022-03-17
267203,23.5,2022-03-21
267203,28.3,2022-03-22
267203,31.6,2022-03-23
267203,18.8,2022-03-24
267203,25.9,2022-03-27
267203,20.5,2022-04-07
267203,42.5,2022-04-11
267203,6.3,2022-04-12
267203,13.5,2022-04-15
267203,11.3,2022-04-18
267203,61.7,2022-04-21
267203,34.2,2022-04-22
267203,9.6,2022-04-26
267203,2.2,2022-05-13
267203,9.7,2022-05-18
267203,18.0,2022-06-04
267203,3.4,2022-06-07
267203,32.2,2022-06-12
267203,9.9,2022-06-21
267203,75.9,2022-06-22
267203,3.8,2022-06-23
267203,53.5,2022-06-24
267203,76.6,2022-06-26
267203,24.5,2022-06-28
267203,6.8,2022-06-30
267203,25.4,2022-07-03
267203,18.3,2022-07-04
267203,8.8,2022-07-07
267203,6.5,2022-07-08
267203,2.2,2022-07-13
267203,34.4,2022-07-14
267203,3.6,2022-07-21
267203,9.3,2022-07-26
267453,1.6,2022-03-21
268128,3.7,2022-03-20
268163,62.8,2022-03-21
268163,20.2,2022-03-22
268188,56.6,2022-03-21
268408,7.0,2022-03-23
268408,15.6,2022-05-21
268408,46.5,2022-05-22
268408,91.0,2022-05-23
268408,54.2,2022-05-24
268408,21.6,2022-05-25
268408,11.9,2022-05-28
268685,14.1,2022-03-27
268685,9.3,2022-03-28
268685,0.1,2022-03-29
268685,17.5,2022-03-31
268685,4.1,2022-04-03
269095,26.7,2022-03-31
269570,32.4,2022-08-16
269570,28.7,2022-08-17
269570,12.8,2022-08-18
269570,76.9,2022-08-27
269570,59.3,2022-08-28
269570,32.2,2022-08-29
269570,14.9,2022-09-01
269570,28.0,2022-09-05
269570,15.0,2022-09-06
269570,0.8,2022-09-07
269570,7.2,2022-09-08
269570,85.1,2022-09-09
269570,36.4,2022-09-10
269570,6.6,2022-09-11
269570,30.0,2022-09-12
269570,54.0,2022-09-21
269570,26.2,2022-09-22
269570,12.3,2022-09-24
269570,18.0,2022-09-26
269570,54.0,2022-09-27
269570,12.0,2022-09-30
269570,1.0,2022-10-02
269570,0.9,2022-10-03
269570,3.5,2022-10-04
269570,10.0,2022-10-11
269570,90.7,2022-10-12
269570,6.6,2022-10-13
269570,0.9,2022-10-14
269570,15.4,2022-10-15
269570,45.6,2022-10-17
269570,82.2,2022-04-04
269570,55.4,2022-04-05
269570,29.5,2022-04-06
269570,14.8,2022-04-08
269570,4.8,2022-04-09
269570,5.1,2022-04-11
269570,0.1,2022-04-13
269570,20.8,2022-04-14
269570,0.5,2022-04-15
269570,38.1,2022-04-16
269570,18.0,2022-04-17
269570,44.1,2022-04-18
269570,6.8,2022-04-19
269570,50.7,2022-04-20
269570,15.2,2022-04-21
269570,34.0,2022-04-22
269570,26.4,2022-04-23
269570,2.0,2022-04-25
269570,42.4,2022-04-26
269570,9.7,2022-04-27
269570,18.0,2022-04-28
269570,7.7,2022-05-06
269570,11.2,2022-05-11
269570,11.5,2022-05-17
269570,3.4,2022-05-19
269570,17.9,2022-06-15
269570,23.9,2022-07-13
269570,28.9,2022-07-18
269570,14.5,2022-07-20
269570,17.3,2022-07-26
269773,2.8,2022-04-18
269773,4.3,2022-04-20
269773,66.2,2022-07-13
269773,12.9,2022-07-17
269926,6.8,2022-04-07
269934,19.3,2022-09-02
269934,46.7,2022-04-07
269934,12.3,2022-04-09
269934,3.8,2022-04-11
269934,100.1,2022-04-12
269934,48.4,2022-04-13
269934,155.1,2022-04-14
269934,76.3,2022-04-21
269934,45.6,2022-04-22
269934,17.0,2022-04-23
269934,5.8,2022-05-09
269934,2.1,2022-05-10
269934,51.5,2022-06-07
269934,101.3,2022-06-10
269934,23.2,2022-06-17
269934,8.3,2022-06-20
269934,77.0,2022-06-22
269934,36.8,2022-06-23
269934,40.3,2022-06-24
269934,27.6,2022-06-27
269934,0.4,2022-07-04
269934,18.7,2022-07-05
269934,5.0,2022-07-06
269942,40.0,2022-04-07
269951,0.3,2022-04-07
270075,8.3,2022-07-29
270075,9.3,2022-07-30
270075,41.7,2022-04-10
270075,105.2,2022-04-11
270075,47.3,2022-04-12
270075,57.8,2022-04-13
270075,139.4,2022-04-14
270075,158.9,2022-04-16
270075,86.9,2022-04-17
270075,34.2,2022-04-18
270075,49.3,2022-04-19
270075,2.1,2022-04-20
270075,69.1,2022-04-21
270075,28.0,2022-04-24
270075,62.8,2022-04-25
270075,43.6,2022-04-26
270075,90.8,2022-04-28
270075,23.5,2022-05-02
270075,80.9,2022-05-03
270075,26.1,2022-05-04
270075,94.6,2022-05-05
270075,22.9,2022-05-06
270075,46.2,2022-05-07
270075,68.4,2022-05-08
270075,34.4,2022-05-09
270075,35.3,2022-05-10
270075,25.0,2022-05-11
270075,19.9,2022-05-13
270075,91.5,2022-05-15
270075,109.4,2022-05-16
270075,26.1,2022-05-17
270075,12.9,2022-05-18
270075,18.6,2022-05-19
270075,31.1,2022-05-21
270075,17.7,2022-05-22
270075,16.0,2022-05-23
270075,120.9,2022-05-24
270075,49.3,2022-05-25
270075,68.4,2022-05-27
270075,29.8,2022-06-03
270075,19.0,2022-06-04
270075,37.9,2022-06-06
270075,50.7,2022-06-07
270075,50.6,2022-06-08
270075,15.1,2022-06-09
270075,28.1,2022-06-10
270075,37.9,2022-06-14
270075,5.8,2022-06-15
270075,12.2,2022-06-16
270075,13.9,2022-06-17
270075,11.5,2022-06-24
270075,37.3,2022-06-25
270075,39.5,2022-06-26
270075,38.2,2022-06-27
270075,36.0,2022-06-28
270075,42.4,2022-06-29
270075,26.7,2022-06-30
270075,34.8,2022-07-01
270075,45.8,2022-07-02
270075,89.7,2022-07-03
270075,24.2,2022-07-04
270075,11.6,2022-07-05
270075,13.9,2022-07-06
270075,9.5,2022-07-25
270076,0.1,2022-04-08
270076,2.2,2022-05-11
270076,3.9,2022-07-01
270220,18.3,2022-04-09
270220,51.4,2022-04-10
270220,23.3,2022-04-11
270220,68.1,2022-04-12
270244,0.1,2022-09-21
270244,18.8,2022-04-11
270244,9.5,2022-04-16
270244,0.1,2022-04-17
270244,6.2,2022-04-24
270268,0.1,2022-04-10
270836,3.8,2022-04-14
270836,4.2,2022-04-15
270836,2.6,2022-04-19
270836,2.6,2022-04-21
270855,39.7,2022-04-15
270967,19.2,2022-04-16
270967,4.7,2022-04-29
271239,9.3,2022-04-19
271368,76.5,2022-04-20
271577,6.9,2022-04-22
271966,0.5,2022-08-10
271966,3.9,2022-08-25
271966,1.2,2022-05-09
271966,0.2,2022-05-11
271966,6.0,2022-05-12
271966,0.1,2022-05-19
271966,4.0,2022-05-24
271966,0.1,2022-05-25
272094,0.4,2022-04-27
272340,46.4,2022-04-29
272911,3.4,2022-05-05
272911,0.7,2022-05-16
273665,0.5,2022-08-09
273764,3.3,2022-05-13
273798,1.4,2022-05-13
274226,6.6,2022-05-17
274513,2.0,2022-05-20
274531,6.6,2022-05-20
274531,20.2,2022-05-21
274531,11.1,2022-05-27
274940,15.9,2022-05-24
274940,41.5,2022-05-25
274940,13.9,2022-05-26
274940,12.3,2022-05-27
274940,0.1,2022-05-31
274940,9.4,2022-06-01
274940,8.6,2022-06-02
274940,17.7,2022-06-04
274940,41.1,2022-06-05
274940,19.1,2022-06-06
275045,42.6,2022-07-27
275045,8.6,2022-07-28
275045,105.2,2022-07-29
275045,110.6,2022-07-30
275045,63.2,2022-07-31
275045,50.6,2022-08-01
275045,48.5,2022-08-02
275045,85.3,2022-08-03
275045,63.1,2022-08-04
275045,78.6,2022-08-05
275045,115.2,2022-08-06
275045,381.8,2022-08-07
275045,31.4,2022-08-08
275045,129.8,2022-08-09
275045,35.8,2022-08-10
275045,36.4,2022-08-11
275045,98.4,2022-08-12
275045,160.6,2022-08-13
275045,140.1,2022-08-14
275045,33.6,2022-08-15
275045,104.3,2022-08-16
275045,169.4,2022-08-17
275045,155.8,2022-08-18
275045,132.3,2022-08-19
275045,66.5,2022-08-20
275045,110.4,2022-08-21
275045,84.3,2022-08-22
275045,100.1,2022-08-23
275045,213.7,2022-08-24
275045,178.3,2022-08-25
275045,162.6,2022-08-27
275045,33.6,2022-08-28
275045,39.3,2022-08-29
275045,36.4,2022-09-01
275045,116.4,2022-09-03
275045,125.2,2022-09-04
275045,5.8,2022-09-05
275045,33.5,2022-09-06
275045,35.0,2022-09-07
275045,0.9,2022-09-08
275045,29.6,2022-09-09
275045,103.2,2022-09-10
275045,29.9,2022-09-11
275045,72.0,2022-09-12
275045,122.3,2022-09-14
275045,110.0,2022-09-15
275045,22.3,2022-09-16
275045,56.1,2022-09-17
275045,131.5,2022-09-18
275045,20.8,2022-09-19
275045,16.6,2022-09-20
275045,6.1,2022-09-21
275045,47.5,2022-09-22
275045,89.2,2022-09-24
275045,79.7,2022-09-25
275045,9.4,2022-09-30
275045,46.8,2022-10-01
275045,38.8,2022-10-02
275045,13.7,2022-10-05
275045,39.7,2022-05-25
275045,56.5,2022-05-28
275045,81.2,2022-05-29
275045,12.5,2022-06-02
275045,3.5,2022-06-16
275045,19.7,2022-06-17
275045,23.3,2022-07-07
275045,23.2,2022-07-08
275045,86.9,2022-07-09
275045,52.5,2022-07-10
275045,138.4,2022-07-11
275045,21.6,2022-07-13
275045,20.7,2022-07-14
275045,268.0,2022-07-16
275045,5.1,2022-07-18
275045,98.5,2022-07-19
275045,63.4,2022-07-20
275045,21.8,2022-07-21
275045,100.2,2022-07-22
275045,90.4,2022-07-23
275045,113.2,2022-07-24
275045,51.5,2022-07-26
275278,0.9,2022-05-28
275448,4.8,2022-05-30
275469,1.4,2022-05-30
275598,0.6,2022-08-24
275598,14.6,2022-10-02
275598,16.7,2022-10-09
275598,10.1,2022-10-12
275598,10.4,2022-06-08
275598,0.4,2022-07-24
275711,3.6,2022-06-01
275711,14.9,2022-06-06
275817,3.8,2022-06-02
275917,10.4,2022-06-02
275918,0.6,2022-08-01
275918,1.3,2022-06-02
275918,0.2,2022-06-04
275918,1.5,2022-06-07
275979,1.1,2022-06-02
276383,9.7,2022-06-03
276383,38.9,2022-06-04
276383,40.0,2022-06-05
276383,38.8,2022-06-06
276383,19.4,2022-06-07
276383,3.0,2022-06-08
276383,4.0,2022-06-09
276383,2.1,2022-06-11
277000,20.7,2022-06-08
277000,8.5,2022-06-09
277000,8.4,2022-06-10
277000,6.3,2022-06-12
277000,0.1,2022-06-13
277000,4.8,2022-06-16
277000,1.8,2022-06-29
277109,11.5,2022-06-08
277109,30.9,2022-06-09
277109,3.2,2022-06-10
277109,4.5,2022-06-16
277109,35.5,2022-06-20
277109,94.5,2022-06-21
277109,15.1,2022-06-23
277109,11.6,2022-06-25
277109,32.5,2022-06-26
277109,26.6,2022-06-27
277109,14.3,2022-07-04
277109,27.6,2022-07-05
277109,3.7,2022-07-12
277220,8.0,2022-06-09
277441,2.3,2022-06-11
278361,11.3,2022-06-19
278440,0.3,2022-07-30
278440,39.6,2022-06-19
278691,36.5,2022-06-20
278691,30.4,2022-06-26
278729,0.1,2022-06-21
278907,1.1,2022-06-22
278975,2.7,2022-08-16
278975,21.9,2022-06-23
279548,14.0,2022-06-28
279689,25.3,2022-06-29
279802,90.9,2022-08-16
279802,88.5,2022-08-17
279802,67.9,2022-08-18
279802,58.5,2022-07-14
279951,0.8,2022-07-01
280068,0.2,2022-07-02
280159,3.4,2022-07-30
280159,10.1,2022-10-02
280159,16.5,2022-10-07
280159,54.1,2022-07-03
280159,100.9,2022-07-04
280159,146.8,2022-07-05
280159,66.4,2022-07-06
280159,6.3,2022-07-07
280159,0.7,2022-07-12
280159,1.2,2022-07-13
280159,6.8,2022-07-16
280159,30.1,2022-07-23
280159,21.0,2022-07-24
280359,0.2,2022-07-05
281125,22.6,2022-07-11
281125,0.9,2022-07-13
281373,0.4,2022-07-13
281610,15.7,2022-07-15
281610,112.0,2022-07-16
281885,35.2,2022-09-20
281885,34.9,2022-09-25
281885,40.9,2022-09-26
281885,0.2,2022-09-28
281885,7.4,2022-10-02
281885,7.7,2022-10-17
281885,0.6,2022-10-20
281885,10.5,2022-07-25
282089,4.0,2022-07-19
282289,1.9,2022-07-22
282355,11.2,2022-08-20
282355,0.1,2022-07-22
282397,11.4,2022-07-23
282944,5.9,2022-07-29
282944,22.1,2022-08-10
282944,11.8,2022-08-11
283275,15.0,2022-07-31
283434,0.7,2022-08-01
283434,1.4,2022-08-13
283434,28.5,2022-08-16
283434,20.5,2022-08-17
283434,0.6,2022-08-18
285716,13.6,2022-08-15
286010,1.1,2022-08-16
286137,1.6,2022-08-15
286795,0.8,2022-08-17
287346,28.2,2022-08-20
287346,7.5,2022-08-22
287363,43.8,2022-08-20
287363,4.4,2022-08-23
287363,5.1,2022-08-28
287363,0.9,2022-08-29
287363,12.3,2022-09-01
287363,30.9,2022-09-03
287363,2.2,2022-09-06
287363,0.1,2022-10-16
287726,2.0,2022-08-23
288027,0.8,2022-08-26
288416,6.9,2022-08-28
288668,0.9,2022-08-30
288697,0.1,2022-08-30
288802,6.5,2022-08-30
289802,8.0,2022-09-07
289802,168.6,2022-09-11
289802,27.6,2022-09-12
289802,181.2,2022-09-18
289802,29.0,2022-09-19
289802,71.8,2022-09-20
289802,40.5,2022-09-21
289802,56.1,2022-09-22
289802,42.1,2022-09-23
289802,16.2,2022-09-24
289802,62.8,2022-09-25
289802,33.3,2022-09-26
289802,71.2,2022-09-27
289802,66.0,2022-09-29
289802,139.9,2022-10-02
289805,15.6,2022-09-11
289805,62.2,2022-09-17
289805,68.5,2022-09-18
289805,0.1,2022-09-20
289805,17.3,2022-09-21
289805,2.9,2022-09-23
289805,60.0,2022-09-24
289805,14.7,2022-09-25
289805,1.1,2022-09-26
289805,8.0,2022-09-27
289805,8.7,2022-10-03
289805,35.6,2022-10-09
289805,35.0,2022-10-10
289805,7.0,2022-10-15
289805,10.5,2022-10-17
289805,4.5,2022-10-18
289805,73.5,2022-10-19
289805,34.1,2022-10-20
290156,0.6,2022-09-11
290156,1.2,2022-09-12
290678,0.3,2022-09-14
290721,19.6,2022-09-14
291092,1.1,2022-09-17
291348,0.2,2022-09-19
291400,19.0,2022-09-20
291400,17.2,2022-09-21
291400,6.7,2022-09-26
291400,84.4,2022-09-27
291400,8.8,2022-10-03
291400,10.6,2022-10-04
291400,41.4,2022-10-05
291400,11.6,2022-10-06
291400,36.5,2022-10-11
291400,52.0,2022-10-12
291400,15.8,2022-10-13
291400,0.3,2022-10-14
291400,27.5,2022-10-18
291400,122.4,2022-10-19
291401,29.2,2022-09-20
291401,50.7,2022-09-21
291401,18.2,2022-09-22
291401,36.8,2022-09-23
291401,84.3,2022-09-26
291401,63.8,2022-09-27
291401,42.9,2022-09-28
291401,71.9,2022-09-29
291401,30.2,2022-10-03
291401,45.6,2022-10-04
291401,91.3,2022-10-05
291401,23.9,2022-10-06
291401,34.5,2022-10-10
291401,8.5,2022-10-11
291401,59.5,2022-10-12
291401,6.6,2022-10-13
291401,15.2,2022-10-17
291401,70.5,2022-10-19
291439,6.9,2022-09-20
291439,16.6,2022-09-24
291509,23.0,2022-09-21
291646,0.1,2022-09-22
291912,30.7,2022-09-24
291912,12.1,2022-09-25
292394,51.9,2022-09-28
292394,18.3,2022-09-29
292394,0.1,2022-09-30
292504,17.9,2022-09-29
292513,13.2,2022-09-29
292522,25.8,2022-09-29
292931,0.1,2022-10-02
292931,31.9,2022-10-03
292931,38.7,2022-10-04
292931,63.1,2022-10-07
292931,17.2,2022-10-11
292931,7.2,2022-10-13
292931,18.4,2022-10-15
292931,34.1,2022-10-17
293504,8.5,2022-10-06
293504,0.1,2022-10-08
293504,7.8,2022-10-09
293504,1.1,2022-10-11
293521,0.3,2022-10-06
294543,0.3,2022-10-13
295018,42.4,2022-10-17
295018,1.3,2022-10-18
277897,6.2,2022-06-15
262315,43.2,2022-02-02
262699,1.4,2022-09-30
266680,22.3,2022-03-10
266680,10.0,2022-03-11
266680,189.0,2022-03-12
266680,67.6,2022-03-13
266680,26.1,2022-03-14
266680,95.5,2022-03-15
266680,31.0,2022-03-16
266680,7.6,2022-03-17
266680,35.3,2022-03-18
266680,92.6,2022-03-20
266680,19.8,2022-03-21
268286,0.6,2022-03-22
273424,37.7,2022-05-10
275281,42.6,2022-05-28
279327,2.1,2022-06-26
279327,2.8,2022-06-30
279327,4.1,2022-07-01
283679,56.4,2022-08-03
283679,13.3,2022-08-04
283679,14.8,2022-08-05
283679,11.6,2022-08-07
283679,26.7,2022-08-08
283679,56.4,2022-08-09
283679,55.0,2022-08-10
283679,15.7,2022-08-11
283679,26.3,2022-08-15
283679,3.1,2022-08-18
289523,1.3,2022-09-05
291693,30.2,2022-09-22
294606,0.2,2022-10-13
294606,1.0,2022-10-19
294606,7.5,2022-10-20
263257,5.8,2022-02-10
265769,18.8,2022-03-29
265769,17.0,2022-03-30
265769,7.7,2022-04-03
266810,78.2,2022-03-11
266810,35.1,2022-03-18
266810,14.3,2022-06-22
266810,59.3,2022-06-30
266810,20.6,2022-07-01
266810,0.2,2022-07-06
266810,70.0,2022-07-21
269123,39.6,2022-03-31
273114,0.1,2022-05-07
283807,4.8,2022-08-11
283807,6.4,2022-08-27
283807,0.1,2022-09-14
291115,0.4,2022-09-18
292406,133.8,2022-09-28
292406,120.4,2022-09-29
292406,72.4,2022-09-30
292406,50.3,2022-10-01
292406,45.1,2022-10-02
292406,44.9,2022-10-03
292406,46.2,2022-10-04
292406,32.5,2022-10-05
292406,74.4,2022-10-06
292406,118.7,2022-10-07
292406,60.4,2022-10-08
292406,71.6,2022-10-09
292406,134.8,2022-10-10
292406,99.2,2022-10-11
292406,62.0,2022-10-12
292406,105.6,2022-10-13
292406,60.5,2022-10-14
292406,101.5,2022-10-15
292406,72.0,2022-10-16
292406,69.0,2022-10-17
292406,95.2,2022-10-18
292406,100.8,2022-10-19
292406,35.4,2022-10-20
292577,0.1,2022-09-29
292916,16.5,2022-10-02
293243,10.6,2022-10-04
294963,1.2,2022-10-16
262229,5.7,2022-02-01
270539,13.8,2022-04-12
270539,0.8,2022-05-09
271294,1.7,2022-04-19
271294,0.4,2022-04-20
271294,5.8,2022-04-22
272142,42.2,2022-04-27
272142,1.8,2022-04-28
272142,2.9,2022-05-10
272470,5.1,2022-04-30
272470,11.5,2022-05-02
272470,0.2,2022-05-03
272470,3.6,2022-06-30
275313,1.1,2022-05-29
277903,11.1,2022-06-15
277903,4.4,2022-06-17
277903,21.7,2022-06-27
293537,4.7,2022-10-06
258897,0.1,2022-04-29
259191,1.0,2022-01-04
259242,9.2,2022-01-04
259885,2.6,2022-01-10
260591,0.4,2022-01-15
260591,1.4,2022-04-05
260606,1.8,2022-01-16
261199,28.5,2022-01-21
261354,32.5,2022-01-23
261354,24.1,2022-01-24
261354,20.1,2022-01-25
261354,34.6,2022-02-04
261354,3.0,2022-02-22
261354,0.1,2022-02-28
261354,2.6,2022-03-02
261354,2.4,2022-03-03
261465,0.1,2022-01-24
262278,37.9,2022-02-01
263301,14.2,2022-02-10
263301,17.4,2022-02-11
263301,4.7,2022-02-14
263301,13.0,2022-02-15
263301,4.7,2022-02-18
263301,5.4,2022-02-19
263301,15.1,2022-02-20
263574,0.1,2022-02-13
263969,39.6,2022-02-17
263969,2.5,2022-02-18
263969,3.4,2022-02-22
263969,2.3,2022-03-09
264136,0.4,2022-02-18
264454,1.3,2022-02-21
264621,15.4,2022-02-22
264621,2.9,2022-02-23
265523,0.2,2022-03-01
267113,0.2,2022-03-13
267409,45.1,2022-03-15
267487,111.1,2022-03-16
267487,101.0,2022-03-17
267487,100.7,2022-03-18
267487,0.3,2022-03-19
267487,0.2,2022-03-20
267487,0.1,2022-03-21
267487,1.1,2022-03-22
267487,34.5,2022-03-24
267487,12.1,2022-03-27
267487,17.7,2022-03-30
267487,39.7,2022-03-31
267487,8.7,2022-04-01
267487,33.1,2022-04-02
267487,11.1,2022-04-09
267487,130.8,2022-04-10
267487,1.0,2022-04-11
267626,7.7,2022-03-16
267626,14.8,2022-03-17
267743,11.1,2022-03-17
267743,30.7,2022-03-18
267743,10.6,2022-03-23
267743,4.1,2022-04-06
267743,7.3,2022-04-08
267743,3.7,2022-04-20
267743,1.9,2022-04-27
267857,6.6,2022-03-18
268121,1.7,2022-03-20
268196,6.6,2022-03-21
268395,8.2,2022-03-28
268584,0.1,2022-08-06
268584,14.4,2022-08-20
268584,4.7,2022-08-22
268584,86.4,2022-03-25
268584,0.3,2022-03-27
268584,60.0,2022-03-28
268584,16.6,2022-03-29
268584,50.8,2022-03-30
268584,18.6,2022-03-31
268584,32.6,2022-04-03
268584,17.1,2022-04-04
268584,37.4,2022-04-05
268584,7.9,2022-04-07
268584,6.1,2022-04-09
268584,23.8,2022-04-11
268584,2.5,2022-04-14
268584,17.2,2022-04-15
268584,13.7,2022-04-18
268584,26.7,2022-04-22
268584,45.8,2022-04-25
268584,52.8,2022-04-29
268584,5.4,2022-05-03
268584,16.5,2022-05-04
268584,0.1,2022-05-08
268584,2.4,2022-05-10
268584,28.1,2022-05-19
268584,31.1,2022-05-20
268584,6.4,2022-05-26
268584,12.7,2022-05-30
268584,5.6,2022-06-06
268584,0.7,2022-07-01
268584,4.6,2022-07-04
268584,33.6,2022-07-08
268584,2.0,2022-07-09
268880,9.0,2022-03-29
268930,2.0,2022-03-30
268955,45.1,2022-03-30
269065,2.1,2022-03-31
270705,1.2,2022-04-14
270812,2.4,2022-04-14
270820,0.9,2022-04-14
270820,8.5,2022-07-01
271481,11.1,2022-04-21
272049,0.1,2022-04-26
272184,0.7,2022-04-27
272200,2.2,2022-04-28
272617,15.4,2022-05-02
274756,21.7,2022-08-17
274756,16.9,2022-05-22
274756,7.0,2022-05-25
274756,1.5,2022-07-24
274756,6.1,2022-07-25
275090,1.3,2022-05-26
275155,0.1,2022-05-26
275155,6.6,2022-05-27
276203,2.9,2022-06-02
